"customer_id","customer_type","last_purch","dollars","beverage1","beverage2","beverage3","beverage4","beverage5","beverage6","buyer"
1,"bar",35,7316,0,2,0,2,3,3,1
2,"bar",35,6507,0,1,1,3,3,1,1
3,"restaurant",33,7135,0,0,1,4,1,4,0
4,"bar",33,7249,2,3,1,3,1,0,0
5,"bar",33,5809,1,1,3,2,1,0,0
6,"restaurant",31,5901,1,0,0,4,2,1,0
7,"bar",33,4968,0,0,3,2,1,1,0
8,"bar",33,4976,0,1,4,2,0,0,0
9,"restaurant",33,5688,2,0,1,2,2,1,0
10,"bar",33,8604,0,3,2,3,2,2,0
11,"bar",33,7834,1,4,3,1,2,0,0
12,"restaurant",35,3557,1,0,1,2,0,1,0
13,"bar",35,4288,1,0,0,1,3,1,0
14,"bar",33,6608,1,0,2,1,5,0,0
15,"restaurant",33,5797,1,1,1,5,0,0,0
16,"bar",31,6596,0,2,1,4,1,1,0
17,"bar",29,7260,1,1,1,2,1,4,1
18,"bar",31,6452,0,4,2,1,1,1,0
19,"restaurant",31,6538,2,0,1,5,1,0,0
20,"bar",31,5704,1,2,3,0,0,2,0
21,"restaurant",33,6449,1,2,0,3,2,1,0
22,"bar",33,7294,1,1,0,2,1,5,0
23,"bar",35,5062,0,1,1,3,1,1,0
24,"restaurant",31,5062,1,1,1,2,2,0,0
25,"restaurant",35,4981,2,0,0,4,0,1,0
26,"bar",29,5779,0,1,2,3,2,0,0
27,"restaurant",31,5704,0,4,1,3,0,0,0
28,"bar",29,7110,0,1,5,2,2,0,0
29,"restaurant",29,6445,0,1,1,6,1,0,0
30,"restaurant",35,5770,0,2,1,3,1,1,0
31,"restaurant",35,7163,2,1,1,3,1,2,0
32,"bar",25,5713,1,2,2,1,0,2,0
33,"bar",31,7833,3,1,2,2,1,2,0
34,"bar",33,4370,1,0,1,3,1,0,0
35,"bar",33,6590,3,1,1,1,2,1,0
36,"restaurant",29,6349,2,2,1,4,0,0,0
37,"restaurant",29,6505,0,2,1,2,3,1,0
38,"restaurant",27,5115,4,1,0,1,1,0,0
39,"bar",27,7312,1,1,3,1,3,1,0
40,"restaurant",27,5609,1,0,0,4,1,2,0
41,"restaurant",33,7205,0,3,0,4,1,2,0
42,"restaurant",31,4950,2,2,0,1,2,0,0
43,"bar",23,7834,2,3,2,3,1,0,0
44,"bar",27,7197,1,1,1,3,2,2,0
45,"restaurant",25,7129,0,6,0,1,2,1,1
46,"restaurant",31,7266,1,2,2,2,1,2,1
47,"restaurant",33,7174,1,1,1,2,4,1,0
48,"bar",29,6556,1,0,5,1,2,0,0
49,"restaurant",33,6549,1,1,0,5,2,0,0
50,"bar",33,5862,2,0,2,0,1,3,0
51,"restaurant",31,5024,0,0,1,4,0,2,0
52,"restaurant",33,7103,1,1,1,6,0,1,0
53,"bar",33,6483,1,1,3,3,0,1,0
54,"bar",23,7243,1,1,2,3,2,1,0
55,"bar",33,4264,1,2,1,2,0,0,0
56,"restaurant",31,5715,0,1,1,2,1,3,0
57,"bar",23,8643,4,1,2,3,1,1,0
58,"bar",31,8089,1,4,2,2,1,1,0
59,"restaurant",29,5784,3,1,0,2,1,1,0
60,"restaurant",33,7305,0,0,0,5,3,2,0
61,"bar",25,8004,2,3,4,2,0,0,0
62,"restaurant",33,3681,0,0,1,1,1,2,0
63,"bar",29,5823,0,2,0,6,0,0,0
64,"bar",27,6405,1,0,1,1,3,3,1
65,"bar",23,7779,0,3,2,2,1,3,1
66,"restaurant",23,7087,0,6,0,2,1,1,1
67,"restaurant",29,5922,1,0,1,3,2,1,0
68,"restaurant",33,5150,0,2,0,4,0,1,0
69,"bar",31,4299,3,0,1,1,1,0,0
70,"restaurant",29,5765,1,2,1,3,0,1,0
71,"bar",33,6353,1,2,1,4,1,0,0
72,"restaurant",31,5746,2,1,1,3,1,0,0
73,"restaurant",29,2904,1,0,1,1,0,1,0
74,"restaurant",33,8671,1,3,0,6,1,1,0
75,"bar",35,7824,2,1,2,3,2,1,0
76,"bar",23,7138,1,2,2,3,2,0,0
