"cust_id","state","zip","speeddown","speedup","last","numords","dollars","sincepurch","oldmodel","refurb","eightvalve","type","income","medhvalue","buy1","training"
27950,"Nevada",89149,98.099998,9.8000002,12,1,50,18,0,1,0,"quickservice",0.69273001,1.972,0,0
70005,"New Jersey",7931,86.5,32.599998,41,2,106,27,0,1,1,"fastcasual",1.8845201,10.00001,0,1
65676,"Florida",32246,79.099998,7.9000001,31,1,38,20,0,1,0,"quickservice",0.51371002,1.413,0,0
14618,"New York",13090,49.799999,3,28,5,238,26,0,1,0,"quickservice",0.70376003,1.466,0,1
67766,"Kansas",67862,0,0,30,1,92,26,0,0,1,"quickservice",0.52762997,0.61699998,0,1
32103,"Maryland",21225,44.200001,4.4000001,34,2,130,20,1,0,1,"quickservice",0.37487,1.765,0,1
57952,"Nevada",89145,100,10,10,1,59,19,0,0,0,"quickservice",0.56524003,1.455,0,1
14082,"North Carolina",28170,21.700001,1.3,31,5,240,26,0,1,0,"other",0.32730001,0.84299999,0,1
58421,"Florida",33556,49.400002,9.8999996,15,2,44,21,0,0,0,"other",0.87326002,2.9649999,0,1
20937,"Illinois",62025,77.099998,2.4000001,17,2,123,20,0,0,0,"fastcasual",0.72877002,1.885,0,1
42615,"New York",14580,50,3,25,2,97,13,0,0,0,"quickservice",0.69189,1.791,0,1
2344,"California",95123,88.400002,22.1,41,3,26,10,0,0,0,"quickservice",0.87180001,5.0219998,0,1
19056,"Ohio",45171,17.4,1,20,1,34,33,1,0,1,"other",0.44461,1.182,0,1
67380,"New York",10025,49.5,5.5,15,1,51,36,0,1,0,"other",0.68515998,9.3459997,0,0
65076,"South Carolina",29644,90.800003,2.7,7,4,68,43,0,1,0,"quickservice",0.46112001,1.126,0,1
71810,"Illinois",60026,73.800003,7.4000001,14,5,163,28,1,0,0,"quickservice",0.90105999,5.7729998,0,1
61373,"Illinois",62208,92.599998,2.8,26,3,166,7,0,0,0,"quickservice",0.62200999,1.278,0,1
55774,"Alabama",35634,71.099998,7.0999999,20,4,152,21,0,0,1,"quickservice",0.56162,1.46,0,1
42511,"California",91754,90.099998,2.9000001,16,5,246,36,0,1,0,"quickservice",0.57630002,4.881,1,1
50819,"Iowa",50118,2.5999999,0.40000001,18,2,109,23,0,1,0,"quickservice",0.59452999,1.188,0,0
64768,"Iowa",52540,2.2,0.2,17,1,14,28,0,1,0,"quickservice",0.49037999,0.83999997,0,0
30177,"Florida",34987,19.799999,2,14,2,279,11,0,0,0,"quickservice",0.61276001,2.056,0,1
10679,"Florida",33810,49.900002,10,12,1,34,34,1,0,0,"quickservice",0.51909,1.248,0,0
25883,"Minnesota",56137,0,0,32,1,186,8,0,0,0,"quickservice",0.53035998,0.77399999,0,1
10755,"Florida",33830,59.599998,9.5,21,5,462,10,0,0,0,"quickservice",0.43503001,0.99699998,0,1
38379,"Florida",32607,42.900002,2.5999999,7,3,60,34,0,1,0,"other",0.35135001,1.715,0,1
53794,"Illinois",60187,76.800003,7.6999998,44,1,60,28,0,1,0,"quickservice",0.84419,3.3280001,1,1
39258,"Minnesota",56477,7.4000001,0.2,25,1,34,41,0,1,0,"fastcasual",0.39025,1.155,0,1
11869,"Arkansas",72335,7.5999999,0.60000002,20,1,50,21,0,0,0,"quickservice",0.31593001,0.71899998,0,1
23606,"Wisconsin",53206,50,3,20,2,56,30,0,1,0,"quickservice",0.22141001,0.67900002,0,1
16569,"California",95136,82.599998,20.700001,30,3,32,16,0,0,0,"other",0.86546999,5.1220002,0,0
39929,"California",94015,83.800003,21,13,3,45,33,1,0,1,"other",0.76977998,5.6950002,0,1
36516,"Louisiana",71377,0,0,10,3,68,47,1,0,1,"other",0.15832999,0.56699997,0,0
71335,"Michigan",49129,62.599998,6.3000002,29,1,20,15,0,0,0,"quickservice",0.56,3.493,0,1
65124,"Tennessee",38555,60.400002,2,7,4,173,9,0,0,0,"quickservice",0.35403001,1.444,0,1
57077,"Florida",33013,91.400002,9.1000004,19,1,36,42,0,1,0,"quickservice",0.29269001,1.8049999,0,1
1581,"New Jersey",7094,82.800003,41.400002,27,1,34,10,0,0,0,"quickservice",0.85391998,4.0380001,0,1
2487,"New York",11756,100,10,10,3,139,17,0,0,0,"fastcasual",0.99588001,3.579,0,0
18296,"California",95954,59.299999,14.8,20,2,32,27,1,0,0,"quickservice",0.39932001,1.6,0,1
7460,"California",92344,61.299999,1.8,18,2,38,20,1,0,0,"quickservice",0.65338999,2.007,0,1
8630,"Pennsylvania",15106,72.900002,36.400002,18,2,37,15,0,0,0,"fastcasual",0.44038001,1.041,0,1
49903,"New Mexico",87401,54.5,5.5,30,2,91,12,0,0,0,"quickservice",0.47720999,1.581,0,0
74317,"Texas",75243,49.900002,3,19,1,120,5,0,0,1,"fastcasual",0.35944,1.784,0,1
32660,"Texas",76539,5,0.69999999,13,1,62,22,0,1,0,"quickservice",0.56695998,1.515,0,1
56865,"California",91304,47,2.8,23,2,64,22,0,0,0,"fastcasual",0.58889002,4.4289999,0,0
37329,"New York",12046,50,2,31,2,99,13,0,0,0,"quickservice",0.75263,2.1370001,0,1
818,"Alabama",36310,27.6,2.8,26,1,50,15,0,0,0,"quickservice",0.33882001,0.84799999,0,1
30002,"Georgia",30904,87.900002,8.3999996,15,4,148,18,0,0,0,"fastcasual",0.30691001,1.05,0,1
64727,"Texas",77350,0.30000001,0,28,1,10,26,0,1,0,"quickservice",0.86562997,0.89200002,0,0
17202,"Virginia",23456,90.900002,9.1000004,30,2,134,7,0,0,0,"quickservice",0.92574,3.2750001,0,0
48412,"Florida",32931,48.900002,9.8000002,4,1,40,21,0,0,1,"quickservice",0.47951999,2.346,0,1
47834,"Washington",98226,75.199997,7.5,31,1,137,12,0,0,0,"quickservice",0.55952001,2.9100001,0,1
43431,"New Hampshire",3455,13.1,0.89999998,33,1,50,41,0,1,0,"quickservice",0.62540001,2.1199999,0,1
17159,"Rhode Island",2914,95.599998,9.6000004,24,1,36,26,0,1,0,"quickservice",0.40641999,2.138,0,0
