"user_id","recency","frequency","monetary","offer_used","normal_paid_price"
1,43,49,954.52,0,0
2,16,37,500.79,0,0
3,11,59,722.28,0,0
4,25,53,1137.38,0,0
5,17,44,876.49,0,0
6,10,48,722.51,0,0
7,12,44,580.34,0,0
8,53,32,661.55,0,0
9,27,32,523.22,0,0
10,33,37,414.87,0,0
11,13,58,626.83,0,0
12,28,51,438.28,0,0
13,30,64,1290,0,0
14,6,24,579.18,0,0
15,26,29,566.54,0,0
16,18,101,1428.12,1,78.0278996448219
17,24,58,1437.18,0,0
18,35,20,436.48,0,0
19,8,47,1262.05,0,0
20,41,44,1022.74,0,0
21,47,30,555.39,0,0
22,48,51,1503.32,0,0
23,23,22,285.49,0,0
24,29,25,622.15,0,0
25,25,29,775.28,0,0
26,46,19,230.66,0,0
27,26,78,811.74,1,67.3687922965363
28,14,26,898.08,0,0
29,59,41,1052.72,0,0
30,4,37,658.63,0,0
31,25,51,730.2,0,0
32,50,56,1025.84,0,0
33,10,40,394.52,0,0
34,10,39,815.21,0,0
35,12,44,516.09,0,0
36,24,63,868.45,0,0
37,32,68,517.72,0,0
38,10,32,780.11,0,0
39,23,34,784.81,0,0
40,55,58,1215.81,0,0
41,38,35,410.59,0,0
42,39,55,463.45,0,0
43,67,31,966.21,0,0
44,5,98,1998.96,1,31.3661454110965
45,6,50,1087.98,0,0
46,51,34,905.27,0,0
47,36,49,845.29,0,0
48,43,50,968.82,0,0
49,15,49,1043.07,0,0
50,82,79,877.6,0,0
51,21,45,997.72,0,0
52,10,26,716.07,0,0
53,32,52,722.77,0,0
54,9,44,1272.39,0,0
55,21,38,675.35,0,0
56,9,69,1927.85,0,0
57,65,34,642.98,0,0
58,11,36,919.99,0,0
59,25,41,1296.52,0,0
60,15,40,328.39,0,0
61,7,33,625.92,0,0
62,30,32,518.3,0,0
63,28,38,1171.6,0,0
64,51,37,580.92,0,0
65,12,20,281.53,0,0
66,20,57,1252.29,0,0
67,21,52,656.95,0,0
68,25,50,749.74,1,109.528674114235
69,6,40,715.05,0,0
70,5,60,1149.04,0,0
71,4,14,405.4,0,0
72,49,19,348.87,0,0
73,7,45,1338.92,0,0
74,20,22,271.29,0,0
75,29,30,971.64,0,0
76,15,57,463.3,0,0
77,46,47,571.32,0,0
78,66,41,1052.94,0,0
79,21,46,1107.9,0,0
80,20,31,642.12,0,0
81,23,40,922.75,0,0
82,37,63,1274.48,0,0
83,53,57,823,0,0
84,7,29,554.2,0,0
85,23,33,917.9,0,0
86,18,36,670.38,0,0
87,45,111,1608.11,1,30.779483759813
88,8,33,891.74,0,0
89,34,44,829.58,0,0
90,38,107,2329.36,1,36.1506318032742
91,13,46,1402.67,0,0
92,5,38,517.85,0,0
93,30,50,534.89,0,0
94,34,37,706.19,0,0
95,17,66,1669.47,0,0
96,30,38,763.7,0,0
97,3,73,1553.91,0,0
98,6,73,1119.96,0,0
99,11,29,668.95,0,0
100,60,40,448.39,0,0
101,20,31,305.23,0,0
102,9,37,983.42,0,0
103,46,53,1442.22,0,0
104,29,40,1079.27,0,0
105,35,28,768.39,0,0
106,50,63,1534.9,0,0
107,64,42,1395.69,0,0
108,46,23,339.91,0,0
109,42,40,393.76,0,0
110,19,63,1466.79,1,29.4251362912729
111,36,42,697.32,0,0
112,26,55,752.05,0,0
113,41,19,569.34,0,0
114,26,50,483.3,0,0
115,13,41,709.13,0,0
116,30,58,1042.59,0,0
117,17,41,463.85,0,0
118,19,26,373.3,0,0
119,27,28,215.34,0,0
120,18,21,484.44,0,0
121,8,36,395.89,0,0
122,39,33,347.07,0,0
123,26,39,965.65,1,57.3326401304081
124,83,68,1699.3,1,71.1872115751729
125,19,95,2161.55,1,81.3238663900271
126,43,35,656.04,0,0
127,38,61,954.82,1,43.6104276098683
128,9,38,629.35,0,0
129,21,24,379.64,0,0
130,33,48,676.81,0,0
131,6,61,1385.81,1,47.6910778006911
132,10,30,847.51,0,0
133,16,43,963.79,0,0
134,26,37,619.3,0,0
135,80,21,513.88,0,0
136,6,46,1172.26,0,0
137,76,38,769.11,0,0
138,19,58,1221.81,0,0
139,5,55,979.3,1,78.4778630084172
140,27,19,471.39,0,0
141,10,42,1368.83,0,0
142,20,35,904.12,0,0
143,25,19,227.63,0,0
144,71,32,594.35,0,0
145,23,23,218.69,0,0
146,26,34,903.51,0,0
147,71,31,878.47,0,0
148,48,88,1969.4,1,68.3302939840034
149,13,87,1125.16,1,77.1986841363832
150,31,23,508.38,0,0
151,14,40,965.36,0,0
152,11,37,399.11,0,0
153,16,43,833.09,0,0
154,26,20,714.37,0,0
155,15,31,851.76,0,0
156,23,42,795.35,0,0
157,12,33,727.45,0,0
158,21,29,431.98,0,0
159,17,60,1472.52,0,0
160,47,47,1101.12,0,0
161,12,46,560.83,0,0
162,71,40,648.79,0,0
163,34,27,580.62,0,0
164,5,106,2820.98,1,54.7465674793348
165,8,22,424.12,0,0
166,23,53,1257.13,1,43.8442553454638
167,10,31,519.54,0,0
168,57,46,379.08,0,0
169,15,46,458.12,1,34.5329534233734
170,13,32,838.98,0,0
171,6,27,221.32,0,0
172,25,49,531.31,0,0
173,23,34,612.8,0,0
174,8,80,2049.04,1,56.0588160496205
175,19,30,255.23,0,0
176,97,44,966.43,0,0
177,33,48,1384.76,0,0
178,14,38,301.04,0,0
179,15,45,571.06,0,0
180,81,63,1826.13,0,0
181,51,30,906.63,0,0
182,13,47,926.53,0,0
183,6,28,616.27,0,0
184,37,29,304.98,0,0
185,13,27,769.62,0,0
186,35,40,768.74,0,0
187,8,54,831.46,0,0
188,14,34,757.88,0,0
189,13,44,831.09,0,0
190,31,31,777.37,0,0
